Item Name;Quantity;Price (total) (USD);Item Link
STM32 BLACKPILL controller board;1;$7.50;https://www.robiduck.com/urun/stm32f411ceu6-black-pill-100mhz-512kb-gelistirme-karti
TB6612FNG dual motor driver board ;1;$2.40;https://www.robocombo.com/tb6612fng-cift-motor-surucu-karti
12mm 2000rpm encoder motor;2;$23.80;https://www.robotzade.com/urun/novamax-enkoderli-6v-2000rpm-mikro-dc-motor
jsumo 2114 (21x14mm) silicone wheel set;1;$6.21+$3.30 shipping;https://www.robotus.net/js2114-silikon-tekerlek-seti
jsumo 2114 silicone wheel silicones (x2 in the set);1;$4.60+$3.30 shipping;https://www.robotus.net/silikon-disi-js2114-1-cift
LSM6DS3 Accelerometer and Gyroscope Sensor Module;1;$3.10;https://www.robocombo.com/lsm6ds3-ivmeolcer-ve-jiroskop-sensor-modulu-4617
QTR-1A color sensor module;1;$6.70+$3.20 shipping;https://www.direnc.net/qtr-1rc-kizilotesi-dijital-sensor-paketi--2-adet-pololu?language=tr&h=363482f6
Profuse 3s 450mah battery ;1;$24 +  $3 shipping;https://www.motorobit.com/111v-3s-450mah-40c-lipo-battery
Mini360 2A voltage regulator;2;$2.00 + $3 shipping;https://www.robotistan.com/2a-mini-ayarlanabilir-voltaj-dusurucu-regulator-karti?language=tr&h=ed713a74
jumper set for connecting the components;1;$6.00;https://www.robocombo.com/jumper-seti
